¦Ç¶¥­È	¾÷²v                   	½s½X                  		½Xªø
0	0     		                    		0                   
1	0     		                    		0                   
2	0     		                    		0                   
3	0     		                    		0                   
4	0     		                    		0                   
5	0     		                    		0                   
6	0     		                    		0                   
7	0     		                    		0                   
8	0     		                    		0                   
9	0     		                    		0                   
10	0     		                    		0                   
11	0     		                    		0                   
12	0     		                    		0                   
13	0     		                    		0                   
14	0     		                    		0                   
15	0     		                    		0                   
16	0     		                    		0                   
17	0     		                    		0                   
18	0     		                    		0                   
19	0     		                    		0                   
20	0     		                    		0                   
21	0     		                    		0                   
22	0     		                    		0                   
23	0     		                    		0                   
24	0     		                    		0                   
25	0     		                    		0                   
26	0     		                    		0                   
27	0     		                    		0                   
28	0     		                    		0                   
29	0     		                    		0                   
30	0     		                    		0                   
31	0     		                    		0                   
32	0     		                    		0                   
33	0     		                    		0                   
34	0     		                    		0                   
35	0     		                    		0                   
36	0     		                    		0                   
37	6.10352e-005		                    		0                   
38	0     		                    		0                   
39	0     		                    		0                   
40	0     		                    		0                   
41	0     		                    		0                   
42	0     		                    		0                   
43	0     		                    		0                   
44	0     		                    		0                   
45	0.00527954		                    		0                   
46	0     		                    		0                   
47	0     		                    		0                   
48	0     		                    		0                   
49	0.00279236		                    		0                   
50	0.00556946		                    		0                   
51	0.00500488		                    		0                   
52	0     		                    		0                   
53	0.0126038		                    		0                   
54	0.0170288		                    		0                   
55	0     		                    		0                   
56	0     		                    		0                   
57	0.0104218		                    		0                   
58	0     		                    		0                   
59	0     		                    		0                   
60	0.0100403		                    		0                   
61	0.0278473		                    		0                   
62	0     		                    		0                   
63	0.00506592		                    		0                   
64	0.0037384		                    		0                   
65	0.00524902		                    		0                   
66	0.0154572		                    		0                   
67	0     		                    		0                   
68	0.00346375		0111010110001       		13                  
69	0.0155487		01110101101         		11                  
70	0     		000000110           		9                   
71	0.00857544		11010100            		8                   
72	0     		10110011            		8                   
73	0.00434875		10001100            		8                   
74	0.00366211		01001011            		8                   
75	0.0120544		00110101            		8                   
76	0     		00010110            		8                   
77	0     		00001110            		8                   
78	0.00462341		00000111            		8                   
79	0.00735474		00000110            		8                   
80	0.00114441		1101011             		7                   
81	0     		1100000             		7                   
82	0     		1011000             		7                   
83	0.00982666		1000111             		7                   
84	0.00482178		0111011             		7                   
85	0.000564575		0110101             		7                   
86	0.00312805		0110000             		7                   
87	0.00798035		0101010             		7                   
88	0.00512695		0100100             		7                   
89	0.00279236		0100000             		7                   
90	0.0112762		0011011             		7                   
91	0.0030365		0010100             		7                   
92	0.0045166		0001111             		7                   
93	0     		0001101             		7                   
94	0     		0001100             		7                   
95	0.0134583		0000101             		7                   
96	0.00411987		0000100             		7                   
97	0.00178528		0000010             		7                   
98	0     		111001              		6                   
99	0.0191193		111000              		6                   
100	0     		110110              		6                   
101	0.00125122		110100              		6                   
102	0.0231934		110011              		6                   
103	0.0142822		110001              		6                   
104	9.15527e-005		101111              		6                   
105	0.00172424		101110              		6                   
106	0     		101000              		6                   
107	0.00543213		100101              		6                   
108	0.0303345		100010              		6                   
109	0.00527954		011111              		6                   
110	0.00378418		011110              		6                   
111	0     		011100              		6                   
112	0     		011011              		6                   
113	0.0170898		011001              		6                   
114	0.00151062		010100              		6                   
115	0.00520325		010011              		6                   
116	0.0130005		010001              		6                   
117	0     		001111              		6                   
118	0.00550842		001110              		6                   
119	0.000167847		001011              		6                   
120	0.0176697		001001              		6                   
121	0.00839233		001000              		6                   
122	0.00332642		11111               		5                   
123	0.015213		11110               		5                   
124	0.0108643		10101               		5                   
125	0.00616455		10011               		5                   
126	0.00819397		10000               		5                   
127	0.00891113		01011               		5                   
128	0.00352478		101101              		6                   
129	0.00871277		                    		0                   
130	0.0286865		                    		0                   
131	0     		1100001             		7                   
132	0.00314331		                    		0                   
133	0.00650024		00001111            		8                   
134	0.0198059		0000000             		7                   
135	0.00492859		00101011            		8                   
136	0     		0000110001          		10                  
137	0.0109406		                    		0                   
138	0.00527954		0001001             		7                   
139	0.0223999		10010010            		8                   
140	0.0169983		0011010000          		10                  
141	0.0121918		                    		0                   
142	0.00088501		0100001             		7                   
143	0.0102539		                    		0                   
144	0.000457764		11001001            		8                   
145	0.0129547		011101010           		9                   
146	0.0150757		                    		0                   
147	0.0197296		01100010            		8                   
148	0.012619		00010111            		8                   
149	0.0107574		                    		0                   
150	0.00384521		                    		0                   
151	0.00144958		0001010             		7                   
152	0.0121002		11011100            		8                   
153	0.0327454		11001000            		8                   
154	0.00732422		00110010            		8                   
155	0.00973511		0101011             		7                   
156	0     		                    		0                   
157	0.0100555		                    		0                   
158	0.00588989		                    		0                   
159	0.00228882		10010011            		8                   
160	0.0152588		                    		0                   
161	0     		00011100            		8                   
162	0.0130463		0111010110000       		13                  
163	0.00128174		00101010            		8                   
164	0.00254822		10001101            		8                   
165	0     		                    		0                   
166	0.0177002		                    		0                   
167	0.00837708		00010000            		8                   
168	0.00306702		000111011100111     		15                  
169	0.000762939		                    		0                   
170	0.00326538		                    		0                   
171	0     		                    		0                   
172	0.00563049		101001100           		9                   
173	0.00465393		1110101             		7                   
174	0.0015564		                    		0                   
175	0     		0011000             		7                   
176	0.00805664		                    		0                   
177	0     		                    		0                   
178	0.00979614		                    		0                   
179	0.00270081		01100011            		8                   
180	0.000259399		                    		0                   
181	0.00318909		000111011101        		12                  
182	0.00312805		                    		0                   
183	0.00160217		                    		0                   
184	0     		                    		0                   
185	0.014267		                    		0                   
186	0.00346375		                    		0                   
187	0.000183105		                    		0                   
188	0     		                    		0                   
189	0.00593567		1110110011          		10                  
190	0     		                    		0                   
191	0     		                    		0                   
192	0.00762939		                    		0                   
193	0.00648499		01110100            		8                   
194	0.00405884		11011101            		8                   
195	0.006073		00001101            		8                   
196	0.00701904		1110100             		7                   
197	0     		                    		0                   
198	9.15527e-005		1110111             		7                   
199	0     		0001110111000       		13                  
200	0     		0110100             		7                   
201	0.00862122		1101111             		7                   
202	0.016037		000011001           		9                   
203	0     		                    		0                   
204	0     		00000010            		8                   
205	0     		                    		0                   
206	0.00686646		01001010            		8                   
207	0     		                    		0                   
208	0.00274658		10100111            		8                   
209	0     		                    		0                   
210	0     		                    		0                   
211	0.00115967		1010010             		7                   
212	0     		000111011100110     		15                  
213	0     		                    		0                   
214	0.00413513		000000111           		9                   
215	0     		00110011            		8                   
216	0     		                    		0                   
217	0     		                    		0                   
218	0     		11101101            		8                   
219	0.00201416		0001110110          		10                  
220	0.000732422		                    		0                   
221	0     		101001101           		9                   
222	0     		                    		0                   
223	0     		00011101111         		11                  
224	0.000213623		                    		0                   
225	0     		                    		0                   
226	0     		001101001           		9                   
227	0     		0011010001          		10                  
228	0     		                    		0                   
229	0     		110010100           		9                   
230	0     		0000110000          		10                  
231	0     		                    		0                   
232	0     		11001011            		8                   
